"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 21 20:33:16 CET 2022","Mon Nov 21 20:33:16 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_traditional_pm_exists[Chrome]",""
"passed","Mon Nov 21 20:33:17 CET 2022","Mon Nov 21 20:33:17 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_competence_training_exists[Chrome]",""
"passed","Mon Nov 21 20:32:32 CET 2022","Mon Nov 21 20:32:34 CET 2022","2332","Tests.Navigation","test_nav_trainings_projectmanagement","Test_Nav_Trainings_Projectmanagement","","","test_nav_to_projectmanagement_traditional[Chrome]",""
"passed","Mon Nov 21 20:33:16 CET 2022","Mon Nov 21 20:33:16 CET 2022","175","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_training_catalogue_exists[Chrome]",""
"passed","Mon Nov 21 20:33:17 CET 2022","Mon Nov 21 20:33:17 CET 2022","41","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_coaching_exists[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","37","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_admin_other_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_creating_value_devops_exists[Chrome]",""
"passed","Mon Nov 21 20:32:56 CET 2022","Mon Nov 21 20:32:57 CET 2022","544","Tests.Unit","test_e_learning_units","Test_Nav_E_Learning","","","test_hyper_link_e_learning_lessons_exists[Chrome]",""
"passed","Mon Nov 21 20:33:17 CET 2022","Mon Nov 21 20:33:17 CET 2022","46","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_leader_training_exists[Chrome]",""
"passed","Mon Nov 21 20:32:45 CET 2022","Mon Nov 21 20:32:48 CET 2022","2973","Tests.Navigation","test_nav_trainings_trainings","Test_Nav_Trainings_Trainings","","","test_nav_to_softskill_trainings[Chrome]",""
"passed","Mon Nov 21 20:32:03 CET 2022","Mon Nov 21 20:32:05 CET 2022","2213","Tests.Functional","test_msg_to_comp","Test_msg_to_comp","","","test_nav_to_message_form[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","38","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_car_fy_faq_exists[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","37","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_leader_courses_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","37","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_dev_webdev_exists[Chrome]",""
"passed","Mon Nov 21 20:32:15 CET 2022","Mon Nov 21 20:32:17 CET 2022","1809","Tests.Navigation","test_nav_e_learning","Test_Nav_E_Learning","","","test_nav_to_mentored_courses[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","36","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_admin_ibm_exists[Chrome]",""
"passed","Mon Nov 21 20:32:34 CET 2022","Mon Nov 21 20:32:35 CET 2022","993","Tests.Navigation","test_nav_trainings_projectmanagement","Test_Nav_Trainings_Projectmanagement","","","test_nav_to_projectmanagement_agile[Chrome]",""
"passed","Mon Nov 21 20:32:05 CET 2022","Mon Nov 21 20:32:07 CET 2022","1544","Tests.Functional","test_msg_to_comp","Test_msg_to_comp","","","test_fill_dataform[Chrome]",""
"passed","Mon Nov 21 20:33:15 CET 2022","Mon Nov 21 20:33:16 CET 2022","688","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_click_on_trainings_dropdown[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","70","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_car_fy_app_ad_exists[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","36","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_admin_aws_exists[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","37","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_dev_micr_exists[Chrome]",""
"passed","Mon Nov 21 20:32:35 CET 2022","Mon Nov 21 20:32:36 CET 2022","1060","Tests.Navigation","test_nav_trainings_projectmanagement","Test_Nav_Trainings_Projectmanagement","","","test_nav_to_projectmanagement_lean[Chrome]",""
"passed","Mon Nov 21 20:33:21 CET 2022","Mon Nov 21 20:33:21 CET 2022","38","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_for_emp_prog_exists[Chrome]",""
"passed","Mon Nov 21 20:33:20 CET 2022","Mon Nov 21 20:33:20 CET 2022","41","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_car_fy_hir_proc_exists[Chrome]",""
"passed","Mon Nov 21 20:33:18 CET 2022","Mon Nov 21 20:33:18 CET 2022","70","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_admin_linux_exists[Chrome]",""
"passed","Mon Nov 21 20:32:38 CET 2022","Mon Nov 21 20:32:40 CET 2022","2403","Tests.Navigation","test_nav_trainings_softskill","Test_Nav_Trainings_Softskill","","","test_nav_to_leader_trainings[Chrome]",""
"passed","Mon Nov 21 20:33:19 CET 2022","Mon Nov 21 20:33:19 CET 2022","35","Tests.Unit","test_mainpage_units","Test_MainPage_Units","","","test_btn_it_courses_dev_pyth_exists[Chrome]",""
